Mean RR*,STD RR (SDNN),Mean HR*,Min HR,RMSSD,NNxx,pNNxx,HRV triangular index,TINN,"Poincare plot, SD1","Poincare plot, SD2",FFT Power (ms2),FFT Power (log),AR Power (ms2),AR Power (log),FFT Power (ms2),FFT Power (log),AR Power (ms2),AR Power (log),Class
711.63,37.729,84.314,68.65,26.488,166,9.4641,12.81,187,9.0405,28.248,268.18,5.5917,289.26,5.6673,53.782,3.9849,56.074,4.0267,0
777.13,12.742,77.207,65.502,8.7235,1,0.062267,4.3668,70,6.1704,16.934,101.23,4.6174,101.64,4.6215,23.747,3.1674,22.94,3.1329,0
620.35,21.315,96.72,80,17.429,30,1.6844,5.3036,194,7.9726,20.423,169.02,5.13,181.95,5.2037,114.77,4.7429,167.44,5.1206,0
792.12,36.751,75.746,56.604,23.663,113,7.2669,11.788,200,16.738,49.142,900.6,6.8031,862.01,6.7593,157.19,5.0574,156.6,5.0537,0
672.65,39.062,89.199,71.09,21.7,100,5.5463,10.867,239,15.349,53.069,1115.3,7.0169,1111.8,7.0137,130.21,4.8692,134.59,4.9023,0
711,30.211,84.388,67.72,14.27,21,1.2288,5.917,273,10.093,41.451,483.23,6.1805,430.72,6.0655,72.539,4.2841,69.399,4.2399,0
782.52,33.742,76.675,61.224,21.236,61,3.8197,6.9177,238,15.021,45.306,605.63,6.4063,618.83,6.4278,166.87,5.1172,149.38,5.0065,0
771.2,31.643,77.801,62.241,20.803,64,3.9752,9.5893,269,14.714,42.274,547.46,6.3053,466.27,6.1448,195.13,5.2736,150.87,5.0164,0
668.7,26.313,89.727,70.588,18.629,54,3.0769,7.1382,166,13.176,34.792,335.17,5.8146,358.31,5.8814,102.68,4.6316,131.86,4.8817,0
667.49,32.4,89.889,69.897,26.495,72,4.34,7.7209,255,18.741,41.789,475.92,6.1652,516.04,6.2462,317.79,5.7614,347.06,5.8495,0
703.82,29.83,85.249,70.755,20.724,105,5.9966,10.246,161,14.493,39.197,548.36,6.3069,601.57,6.3995,126.74,4.8421,129.21,4.8614,0
828.91,41.627,72.384,58.939,26.266,128,8.8154,12.858,207,18.579,55.85,1243,7.1253,986.29,6.8939,233.94,5.4551,195.94,5.2778,0
938.56,49.466,63.928,51.546,33.7,115,9.512,15.125,288,23.839,65.762,1201.5,7.0913,1330.3,7.1931,261.28,5.5656,293.74,5.6827,0
813.04,33.84,73.797,57.692,21.724,65,4.6165,10.674,180,15.367,45.34,852.85,6.7486,575.8,6.3558,151.37,5.0197,146.67,4.9882,0
656.34,30.089,91.416,76.726,15.906,50,2.8719,11.167,159,11.25,41.043,564.89,6.3366,536.3,6.2847,76.514,4.3375,72.142,4.2786,0
794.65,34.953,75.505,58.027,24.412,82,5.3806,8.7644,223,17.268,46.317,828.67,6.7198,686.91,6.5322,190.08,5.2474,180.3,5.1946,0
675.27,22.895,88.853,75.567,13.923,35,1.9707,7.4042,108,9.848,30.846,267.54,5.5893,317.03,5.759,60.536,4.1032,60.089,4.0958,0
624.45,24.189,96.085,75.834,12.316,20,1.0689,7.7037,158,8.7108,33.088,263.74,5.575,321.45,5.7728,50.341,3.9188,56.446,4.0333,0
733.9,23.281,81.755,63.83,14.021,35,1.9989,7.6842,132,9.9173,31.399,329.8,5.7985,305.43,5.7217,76.646,4.3392,67.877,4.2177,0
744.62,51.587,80.578,65.789,31.861,165,10.3,14.573,296,22.536,69.401,1761.8,7.4741,1486.9,7.3044,338.95,5.8259,322.99,5.7776,0
767.2,27.742,78.207,62.893,18.19,57,3.6445,9.3713,182,12.866,37.075,429.99,6.0638,459.64,6.1304,103.08,4.6355,102.13,4.6263,0
678.23,21.715,88.466,73.171,13.427,23,1.2994,7.3792,126,9.4968,29.212,304.16,5.7175,293.51,5.6819,59.093,4.0791,58.89,4.0757,0
791.01,21.979,75.852,68.493,15.68,34,2.3927,6.5229,117,11.091,29.042,314.27,5.7502,289.67,5.6687,83.377,4.4234,76.423,4.3363,0
650.87,15.982,92.185,83.287,9.0572,2,0.12107,5.055,85,6.4063,21.675,145.39,4.9794,183.76,5.2136,18.201,2.9015,20.326,3.0119,0
781.54,17.741,76.772,67.873,12.244,18,1.0169,4.2675,129,8.6606,23.54,198.79,5.2923,186.24,5.227,55.224,4.0114,44.72,3.8004,0
665.72,21.867,90.128,65.422,11.304,19,1.0597,6.1438,130,7.9951,29.868,276.45,5.622,289.74,5.669,33.78,3.5199,47.087,3.852,0
899.44,20.908,66.709,59.428,15.023,40,2.9828,6.71,142,10.627,27.582,347.05,5.8495,324.38,5.7819,46.488,3.8392,49.485,3.9017,0
744.55,19.006,80.586,70.258,13.299,25,1.5461,6.827,104,9.8068,25.185,181.68,5.2022,207.85,5.3368,63.406,4.1496,58.286,4.0654,0
633.84,18.422,94.661,77.68,12.449,14,0.77778,5.7724,104,8.8056,24.523,213.1,5.3617,197.64,5.2864,59.361,4.0836,64.478,4.1663,0
713.83,24.426,84.053,72.639,12.752,24,1.3644,8.7129,142,9.02,33.317,353.47,5.8678,337.76,5.8223,53.747,3.9843,51.134,3.9345,0
609.47,11.557,98.447,82.736,7.7678,2,0.11167,3.0897,114,5.4943,15.327,52.696,3.9645,57.16,4.0458,13.554,2.6067,19.565,2.9737,0
682.81,40.23,87.872,71.259,23.322,126,6.889,12.797,214,7.7589,29.659,1057.4,6.9636,1121.7,7.0226,138.45,4.9305,141.26,4.9506,1
649.72,11.792,92.347,83.565,8.2716,4,0.20812,3.642,77,5.8505,15.571,73.52,4.2976,75.157,4.3196,28.997,3.3672,29.943,3.3993,1
639.42,16.352,93.835,81.566,11.781,17,0.8709,5.2219,90,7.3442,19.532,115.52,4.7494,125.64,4.8334,70.937,4.2618,66.322,4.1945,1
800.1,37.642,74.991,57.034,25.068,110,7.1475,10.922,194,17.731,50.177,989.55,6.8972,879.49,6.7793,212.78,5.3603,183.1,5.21,1
648.65,28.39,92.5,69.38,15.56,40,2.2949,8,189,11.006,38.617,605.07,6.4053,588.68,6.3779,76.89,4.3424,68.674,4.2294,1
710.55,24.523,84.442,70.855,14.458,30,1.7544,8.0329,141,10.227,33.147,301.17,5.7077,312.07,5.7432,69.66,4.2436,64.497,4.1666,1
711.9,23.901,84.282,60,15.778,44,2.5071,7.6681,128,11.16,31.894,313,5.7462,332.16,5.8056,90.056,4.5004,81.718,4.4033,1
711.08,24.002,84.378,68.65,13.549,30,1.7212,7.3277,121,9.5835,32.562,304.08,5.7173,349.6,5.8568,44.887,3.8041,51.872,3.9488,1
559.55,13.724,107.23,90.198,9.8196,7,0.36978,3.6008,113,6.9454,18.11,52.333,3.9576,64.193,4.1619,55.212,4.0112,56.742,4.0385,1
628.35,31.742,95.488,75.377,25.469,77,4.4101,7.2792,195,18.115,41.155,444.14,6.0961,402.81,5.9985,367.31,5.9062,350.46,5.8592,1
703.15,20.337,85.33,74.627,14.773,41,1.799,6.7257,107,10.448,26.78,265.53,5.5817,282.78,5.6447,66.999,4.2047,72.155,4.2788,1
653.33,26.907,91.837,64.103,15.691,43,2.4741,7.5939,153,11.099,36.388,443.21,6.094,434.99,6.0753,68.56,4.2277,79.092,4.3706,1
837.51,36.376,71.641,55.453,22.095,76,5.209,9.2994,255,15.629,49.013,571.77,6.3487,751.87,6.6226,142.25,4.9576,138.7,4.9323,1
806.98,21.031,74.351,62.863,13.378,27,1.817,6.5507,134,9.4627,28.206,281.17,5.6389,277.3,5.6251,54.526,3.9987,53.24,3.9748,1
645.02,28.699,93.021,75.949,15.006,42,2.2593,7.4699,142,10.613,39.185,542.66,6.2965,560.59,6.329,52.982,3.97,55.172,4.0105,1
727.75,23.3,82.446,61.602,15.395,43,2.7389,6.0192,131,10.889,31.107,356.47,5.8762,343.73,5.8399,79.488,4.3756,73.172,4.2928,1
650.9,20.04,92.18,79.576,11.75,18,0.9772,6.9026,110,8.3111,27.094,177.3,5.1779,184.56,5.218,66.59,4.1985,57.443,4.0508,1
570.13,19.517,105.24,81.83,10.046,10,0.57078,5.3121,95,7.1057,26.676,177.09,5.1766,189.54,5.2446,35.853,3.5794,38.867,3.6602,1
639.68,19.157,93.797,77.128,13.068,23,1.1466,7.0175,100,9.2429,25.472,205.78,5.3268,221.73,5.4015,58.519,4.0693,65.591,4.1834,1
656.91,22.26,91.336,77.32,14.564,27,1.4786,8.12,117,10.301,29.755,345.21,5.8441,337.61,5.8219,79.416,4.3747,68.07,4.2205,1
674.08,19.972,89.011,76.609,13.812,30,1.6863,6.3345,101,9.7691,26.503,266.41,5.585,287.87,5.6625,59.81,4.0912,58.676,4.072,1
667.95,18.592,89.827,80.819,11.606,17,0.94392,6.0067,103,8.2088,24.964,209.79,5.3461,225.48,5.4182,49.471,3.9014,45.662,3.8213,1
769.49,15.763,77.974,70.588,10.446,9,0.57288,4.2602,78,7.3886,21.033,163.31,5.0957,165.04,5.1062,38.478,3.6501,34.037,3.5275,1
592.69,13.574,101.23,89.552,6.6387,1,0.04985,4.6032,78,4.6954,18.618,75.629,4.3258,93.584,4.5389,10.432,2.3449,11.425,2.4358,1
799.79,13.705,75.02,68.807,9.7964,3,0.20257,4.6751,70,6.9294,18.101,117.45,4.766,117.77,4.7688,29.731,3.3922,28.66,3.3555,1
585.87,19.95,102.41,81.198,12.966,22,1.2858,6.4361,108,9.1712,26.685,265.06,5.58,262.1,5.5687,58.307,4.0657,67.031,4.2052,1
767.47,18.725,78.179,67.72,11.547,15,0.95178,5.6727,98,8.1679,25.172,199.24,5.2945,222.8,5.4063,43.95,3.7831,44.066,3.7857,1
727.26,19.574,82.501,70.989,13.78,30,1.8116,6.7358,103,9.7465,25.909,233.87,5.4547,242.68,5.4917,67.431,4.2111,61.078,4.1122,1
599.1,15.796,100.15,80.915,10.25,6,0.31381,4.5656,90,7.2495,21.116,102.47,4.6296,116.9,4.7613,49.445,3.9009,51.874,3.9488,1
696.64,23.44,86.127,71.429,13.198,20,1.1501,7.9452,140,9.0354,31.746,334.77,5.8134,340.55,5.8306,60.297,4.0993,58.656,4.0717,1
576.16,11.826,104.14,92.593,6.1951,1,0.059347,3.6812,88,4.3819,16.071,40.574,3.7031,51.643,3.9444,8.0843,2.0899,12.048,2.4889,1
